country_code,region_name,iata,icao,airport
AF,Khost,KHT,OAKS,Khost Airfield
AF,Khost,OLR,OASL,Forward Operating Base Salerno
AF,Kunduz,UND,OAUZ,Kunduz Airport
AF,Logar,OAA,OASH,Forward Operating Base Shank
AF,Nangarhar,JAA,OAJL,Jalalabad Airport
AF,Paktika,OAS,OASA,Sharana Airstrip / Forward Operating Base Sharana
AF,Paktika,URN,OAOG,Urgun Airport
AF,Parwan,OAI,OAIX,Bagram Airfield
AF,Takhar,TQN,OATQ,Taloqan Airport
AG,Barbuda,BBQ,TAPH,Barbuda Codrington Airport
AG,Saint George,ANU,TAPA,V. C. Bird International Airport
AI,Anguilla,AXA,TQPF,Clayton J. Lloyd International Airport
AM,Erevan,EVN,UDYZ,Zvartnots International Airport
AM,Sirak,LWN,UDSG,Gyumri Shirak Airport
AO,Bengo,AZZ,FNAM,Ambriz Airport
AO,Bengo,NBJ,FNBJ,Luanda Dr. Antonio Agostinho Neto Angola International Airport
AO,Benguela,BUG,FNBG,Benguela Airport (Gen. V. Deslandes Airport)
AO,Benguela,CBT,FNCT,Catumbela Airport
AO,Benguela,LLT,FNLB,Lobito Airport
AO,Bie,ANL,,Andulo Airport
AO,Bie,SVP,FNKU,Kuito Airport
AO,Cabinda,CAB,FNCA,Cabinda Airport
AO,Cunene,VPE,FNGI,Ondjiva Pereira Airport
AO,Cunene,XGN,FNXA,Xangongo Airport
AO,Huambo,NOV,FNHU,Albano Machado Airport
AO,Huila,JMB,,Jamba Airport
AO,Huila,SDD,FNUB,Lubango Mukanka Airport
AO,Kuando Kubango,CTI,FNCV,Cuito Cuanavale Airport
AO,Kuando Kubango,DRC,,Dirico Airport
AO,Kuando Kubango,SPP,FNME,Menongue Airport
AO,Kwanza Norte,NDF,,N'dalatando Airport
AO,Kwanza Sul,CEO,FNWK,Waco Kungo Airport
AO,Kwanza Sul,NDD,FNSU,Sumbe Airport
AO,Kwanza Sul,PBN,FNPA,Porto Amboim Airport
AO,Luanda,LAD,FNLU,Quatro de Fevereiro Airport
AO,Lunda Norte,CFF,FNCF,Cafunfo Airport
AO,Lunda Norte,DUE,FNDU,Dundo Airport
AO,Lunda Norte,LBZ,FNLK,Lucapa Airport
AO,Lunda Norte,LZM,FNLZ,Cuango-Luzamba Airport
AO,Lunda Norte,NZA,FNZG,Nzagi Airport
AO,Lunda Norte,PGI,FNCH,Chitato Airport
AO,Lunda Sul,VHC,FNSA,Henrique de Carvalho Airport
AO,Malange,KNP,FNCP,Kapanda Airport
AO,Malange,MEG,FNMA,Malanje Airport
AO,Moxico,CAV,FNCZ,Cazombo Airport
AO,Moxico,CNZ,,Cangamba Airport
AO,Moxico,GGC,,Lumbala N'guimbo Airport
AO,Moxico,LUO,FNUE,Luena Airport
AO,Moxico,UAL,FNUA,Luau Airport
AO,Namibe,MSZ,FNMO,Namibe Airport (Yuri Gagarin Airport)
AO,Uige,GXG,FNNG,Negage Airport
AO,Uige,UGO,FNUG,Uige Airport
AO,Zaire,ARZ,FNZE,N'zeto Airport
AO,Zaire,SSY,FNBC,Mbanza Congo Airport
AO,Zaire,SZA,FNSO,Soyo Airport
AQ,Antarctica,TNM,SCRM,Teniente R. Marsh Airport
AR,Buenos Aires,AEP,SABE,Aeroparque Internacional Jorge Newbery
AR,Buenos Aires,BHI,SAZB,Comandante Espora Airport
AR,Buenos Aires,CPG,,Carmen de Patagones Airport
AR,Buenos Aires,CSZ,SAZC,Brigadier Hector Eduardo Ruiz Airport
AR,Buenos Aires,EPA,SADP,El Palomar Airport
AR,Buenos Aires,EZE,SAEZ,Ministro Pistarini International Airport
AR,Buenos Aires,JNI,SAAJ,Junin Airport
AR,Buenos Aires,LPG,SADL,La Plata Airport
AR,Buenos Aires,MDQ,SAZM,Astor Piazzolla International Airport
AR,Buenos Aires,MJR,,Miramar Airport
AR,Buenos Aires,NEC,SAZO,Necochea Airport
AR,Buenos Aires,OVR,SAZF,Olavarria Airport
AR,Buenos Aires,OYO,SAZH,Tres Arroyos Airport
AR,Buenos Aires,PEH,SAZP,Comodoro Pedro Zanni Airport
AR,Buenos Aires,SST,SAZL,Santa Teresita Airport
AR,Buenos Aires,TDL,SAZT,Tandil Airport
AR,Buenos Aires,VGS,,General Villegas Airport
AR,Buenos Aires,VLG,SAZV,Villa Gesell Airport
AR,Catamarca,CTC,SANC,Coronel Felipe Varela International Airport
AR,Chaco,CNT,,Charata Airport
AR,Chaco,PRQ,SARS,Presidencia Roque Saenz Pena Airport
AR,Chaco,RES,SARE,Resistencia International Airport
AR,Chubut,ARR,SAVR,Alto Rio Senguer Airport
AR,Chubut,CRD,SAVC,General Enrique Mosconi International Airport
AR,Chubut,EMX,SAVD,El Maiten Airport
AR,Chubut,EQS,SAVE,Esquel Airport
AR,Chubut,JSM,SAWS,Jose de San Martin Airport
AR,Chubut,OLN,SAVM,Lago Musters Airport
AR,Chubut,PMY,SAVY,El Tehuelche Airport
AR,Chubut,REL,SAVT,Almirante Marcos A. Zar Airport
AR,Chubut,ROY,SAWM,Rio Mayo Airport
AR,Cordoba,COR,SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas)
AR,Cordoba,LCM,SACC,La Cumbre Airport
AR,Cordoba,RCU,SAOC,Las Higueras Airport
